timestamp,nav,cash,gross_exposure,net_exposure,leverage,daily_pnl,drawdown
1626220800000000000,934963,583117,351845,351845,0.37632,-1608.27,0.0742977
1626307200000000000,935688,583117,352571,352571,0.376804,725.194,0.0735796
1626393600000000000,935028,583117,351911,351911,0.376364,-659.278,0.0742324
1626480000000000000,934799,583117,351682,351682,0.376212,-228.985,0.0744591
1626566400000000000,937790,583117,354673,354673,0.378201,2990.97,0.0714978
1626652800000000000,939625,583117,356507,356507,0.379415,1834.08,0.0696818
1626739200000000000,940246,583117,357129,357129,0.379825,621.731,0.0690663
1626825600000000000,938054,583117,354937,354937,0.378376,-2191.95,0.0712365
1626912000000000000,934315,583117,351198,351198,0.375888,-3739.25,0.0749387
1626998400000000000,931390,583117,348273,348273,0.373928,-2924.75,0.0778345
1627084800000000000,931804,705566,226237,226237,0.242795,413.285,0.0774253
1627171200000000000,930240,705566,224673,224673,0.241522,-1564.09,0.0789739
1627257600000000000,932966,705566,227399,227399,0.243738,2726.13,0.0762748
1627344000000000000,935047,705566,229481,229481,0.245422,2081.65,0.0742137
1627430400000000000,932351,804852,127499,127499,0.13675,-2696.57,0.0768836
1627516800000000000,931693,804852,126841,126841,0.136141,-657.778,0.0775349
1627603200000000000,930226,804852,125374,125374,0.134778,-1467.4,0.0789877
1627689600000000000,929609,804852,124758,124758,0.134204,-616.097,0.0795977
1627776000000000000,931718,804852,126866,126866,0.136164,2108.64,0.07751
1627862400000000000,931417,804852,126566,126566,0.135885,-300.654,0.0778077
1627948800000000000,928206,804852,123354,123354,0.132895,-3211.55,0.0809874
1628035200000000000,929042,804852,124191,124191,0.133676,836.615,0.0801591
1628121600000000000,930894,804852,126042,126042,0.135399,1851.42,0.078326
1628208000000000000,926456,804852,121604,121604,0.131258,-4437.84,0.0827199
1628294400000000000,928005,804852,123154,123154,0.132708,1549.12,0.0811861
1628380800000000000,925873,804852,121022,121022,0.130711,-2131.98,0.083297
1628467200000000000,925888,804852,121036,121036,0.130725,14.8022,0.0832823
1628553600000000000,925349,885189,40159.6,40159.6,0.0433994,-539.173,0.0838161
1628640000000000000,926748,885189,41558.7,41558.7,0.0448436,1399.17,0.0824308
1628726400000000000,925739,885189,40549.7,40549.7,0.0438026,-1008.99,0.0834298
1628812800000000000,924414,885189,39224.7,39224.7,0.042432,-1325.01,0.0847417
1628899200000000000,925291,885189,40101.3,40101.3,0.0433392,876.613,0.0838738
1628985600000000000,925363,885189,40173.3,40173.3,0.0434136,71.9878,0.0838025
1629072000000000000,925363,885189,40173.3,40173.3,0.0434136,0,0.0838025
1629158400000000000,924596,885189,39406.6,39406.6,0.0426203,-766.763,0.0845617
1629244800000000000,926386,885189,41196.8,41196.8,0.0444705,1790.27,0.0827891
1629331200000000000,925688,885189,40498.4,40498.4,0.0437495,-698.446,0.0834807
1629417600000000000,926888,885189,41698.5,41698.5,0.0449876,1200.11,0.0822924
1629504000000000000,927225,885189,42035.9,42035.9,0.0453351,337.385,0.0819584
1629590400000000000,926599,885189,41409.4,41409.4,0.0446896,-626.531,0.0825787
1629676800000000000,924991,819655,105336,105336,0.113878,-1607.47,0.0841703
1629763200000000000,925646,819655,105991,105991,0.114505,655.012,0.0835217
1629849600000000000,925521,819655,105866,105866,0.114385,-124.954,0.0836454
1629936000000000000,926298,748793,177506,177506,0.191629,777.027,0.0828761
1630022400000000000,925627,748793,176834,176834,0.191043,-671.175,0.0835406
1630108800000000000,927915,748793,179122,179122,0.193037,2287.49,0.0812758
1630195200000000000,930430,748793,181638,181638,0.195219,2515.69,0.078785
1630281600000000000,930288,748793,181495,181495,0.195096,-142.517,0.0789262
1630368000000000000,926180,748793,177388,177388,0.191526,-4107.39,0.0829929
1630454400000000000,925042,748793,176249,176249,0.190531,-1138.71,0.0841203
1630540800000000000,925137,748793,176345,176345,0.190615,95.6184,0.0840256
1630627200000000000,922983,748793,174190,174190,0.188725,-2154.25,0.0861585
1630713600000000000,924891,748793,176098,176098,0.190399,1907.61,0.0842698
1630800000000000000,924968,748793,176175,176175,0.190466,76.881,0.0841937
1630886400000000000,929993,748793,181200,181200,0.19484,5025.32,0.0792182
1630972800000000000,928812,748793,180020,180020,0.193817,-1180.4,0.0803869
1631059200000000000,930953,748793,182160,182160,0.19567,2140.11,0.0782679
1631145600000000000,928706,748793,179914,179914,0.193725,-2246.15,0.0804919
1631232000000000000,927994,748793,179202,179202,0.193107,-711.97,0.0811968
1631318400000000000,923670,748793,174877,174877,0.189328,-4324.89,0.0854788
1631404800000000000,919692,748793,170899,170899,0.185822,-3977.61,0.089417
1631491200000000000,917482,748793,168689,168689,0.183861,-2210.15,0.0916053
1631577600000000000,917049,748793,168257,168257,0.183476,-432.445,0.0920335
1631664000000000000,917228,786332,130896,130896,0.142709,178.516,0.0918567
1631750400000000000,915092,786332,128760,128760,0.140707,-2136.14,0.0939717
1631836800000000000,916608,786332,130276,130276,0.142129,1516.16,0.0924705
1631923200000000000,916000,786332,129668,129668,0.141559,-608.347,0.0930729
1632009600000000000,915561,851851,63709.9,63709.9,0.0695856,-438.477,0.093507
1632096000000000000,918549,851851,66697.5,66697.5,0.0726118,2987.58,0.090549
1632182400000000000,918928,918928,0,0,0,379.308,0.0901735
1632268800000000000,918928,918928,0,0,0,0,0.0901735
1632355200000000000,918928,918928,0,0,0,0,0.0901735
1632441600000000000,918893,857079,61814.3,61814.3,0.0672703,-34.6585,0.0902078
1632528000000000000,915749,857079,58669.9,58669.9,0.0640677,-3144.33,0.093321
1632614400000000000,916223,857079,59144.5,59144.5,0.0645525,474.562,0.0928511
1632700800000000000,914954,857079,57875.2,57875.2,0.0632548,-1269.26,0.0941078
1632787200000000000,914984,857079,57905.4,57905.4,0.0632857,30.2047,0.0940779
1632873600000000000,914986,857079,57906.8,57906.8,0.0632871,1.35801,0.0940765
1632960000000000000,915512,857079,58432.9,58432.9,0.0638254,526.122,0.0935556
1633046400000000000,916219,916219,0,0,0,707.165,0.0928555
1633132800000000000,916219,916219,0,0,0,0,0.0928555
1633219200000000000,915948,859081,56867.9,56867.9,0.0620864,-270.639,0.0931234
1633305600000000000,917278,859081,58197.9,58197.9,0.0634463,1329.97,0.0918066
1633392000000000000,916320,859081,57239.2,57239.2,0.0624664,-958.717,0.0927558
1633478400000000000,916600,859081,57519.9,57519.9,0.0627536,280.769,0.0924779
1633564800000000000,916600,859081,57519.9,57519.9,0.0627536,0,0.0924779
1633651200000000000,916133,859081,57052.9,57052.9,0.0622757,-467.054,0.0929403
1633737600000000000,916647,859081,57566.5,57566.5,0.0628012,513.651,0.0924317
1633824000000000000,916835,859081,57754.1,57754.1,0.0629929,187.55,0.092246
1633910400000000000,915070,859081,55989.5,55989.5,0.061186,-1764.62,0.0939932
1633996800000000000,915070,859081,55989.5,55989.5,0.061186,0,0.0939932
1634083200000000000,917910,859081,58829.7,58829.7,0.0640909,2840.21,0.0911811
1634169600000000000,917910,859081,58829.7,58829.7,0.0640909,0,0.0911811
1634256000000000000,916666,859081,57585.4,57585.4,0.0628205,-1244.22,0.092413
1634342400000000000,915644,859081,56563.1,56563.1,0.0617742,-1022.33,0.0934252
